id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
1946,am in the mood for something delicious,,eat pizza and drink beer,pretend this pizza is plastic,eat lots of food with family,eat a meal with pasta,order a pizza that the men bake in the brick oven,targ,vis,lan,lan,vis,0
1947,am feeling hungry,,take a bite out of the boy's hotdog,take a bite of the burger,join this group for lunch eating pizza.,dive into the pizza,eat pizza and drink beer,lan,lan,vis,targ,vis,3
1951,am hungry,,eat a bowl of spaghetti,sit down and eat pizza,sit at a table to eat some food,can i have some of he pizza,nab a slice of pizza from the child.,lan,targ,lan,vis,vis,1
1952,feel a little hungry,,eat pasta with a fork,join the woman and the child for pizza,i will cook a pizza,eat just one slice of pizza,eat the food on the plate,lan,vis,vis,targ,lan,3
1954,am feeling creative,,i will eat more pizza.,prepare a dessert in the kitchen,learn how to make pizza from the lady,make something in the oven.,order several boxes of pizza and eat them,vis,lan,targ,lan,vis,2
1963,i fell very hungry,,choose one pizza over the other,eat some pizza and soda at the park,grab a plate and get some food,i wiil go to the pizza,eat some food at the restaurant,vis,vis,lan,targ,lan,3
1966,was feeling hungry,,enjoy the food with the group,make my own pizza like the woman & kids.,join the people in the kitchen,pretend this pizza is plastic,join this group for lunch eating pizza.,lan,vis,lan,vis,targ,4
1967,am feeling hungry,,i would eat the pizza the men are making,take some food from the table,devour a slice of pizza just like this woman,eat some food on the table,jump in and grab some pizza,vis,lan,vis,lan,targ,4
2042,want to eat,,take that donut and eat it,put the pizza in the oven,wait for the cake to be cut up,i will make a cake and invite friends.,join these ladies and judge these cakes,lan,lan,targ,vis,vis,2
2043,am feeling celebratory,,make something in the oven.,prepare a dessert in the kitchen,move forward for a closer look at the cake,make a birthday cake,clap when the little boy cuts the cake.,lan,lan,vis,targ,vis,3
2044,if i am hungry,,take a picture of the couple cutting their wedding cake,i will take food from this oven.,i will eat a piece of cake,take a bite of the cupcake,watch the couple cut the cake and congratulate them,vis,lan,targ,lan,vis,2
2045,am hungry,,eat my food at the table,eat the pizza on the table,clap when the little boy cuts the cake.,have a piece of the cake,clean my uniform when i finish cutting the cake,lan,lan,vis,targ,vis,3
2046,want to celebrate a birthday,,take a picture of my daughter eating pizza.,buy my little girl a birthday cake,give her a gift on her birthday,clap when the little boy cuts the cake.,i will take a couple of slices and leave the reception,lan,targ,lan,vis,vis,1
2050,am feeling hungry,,take a bite of the cupcake,cut a wedding cake with my spouse and then dance all night,take a piece of the cake.,help the woman eat the cake,eat a little dessert on my plate,lan,vis,targ,vis,lan,2
2054,was feeling inquisitive,,grab myself a plate,take the man's picture,move forward for a closer look at the cake,wait until the cookies are baked,throw my boy a birthday party with a cake and candles,lan,lan,targ,vis,vis,2
2055,if it's my birthday,,move forward for a closer look at the cake,join these ladies and judge these cakes,take a plate and help myself to some of the desserts on the table,i eat a cake,eat a doughnut with chocolate sprinkles,vis,vis,lan,targ,lan,3
2056,am hungry,,eat a slice like the girl,eat a little dessert on my plate,cut a wedding cake with my spouse and then dance all night,eat that cake,buy a big cake and other food and celebrate in the kitchen at work,lan,lan,vis,targ,vis,3
2057,want to capture the moment,,steal the kid's pizza,join these ladies and judge these cakes,move forward for a closer look at the cake,take a photo of the boy and the cake,buy a cake and balloons to cheer her up.,lan,vis,vis,targ,lan,3
2058,am feeling hungry.,,clean my uniform when i finish cutting the cake,eat a slice like the girl,eat a doughnut with chocolate sprinkles,help my child cut their cake,have a slice of cake.,vis,lan,lan,vis,targ,4
2059,feel hungry,,eat the sandwich,clean my uniform when i finish cutting the cake,eat the cake with the men,move forward for a closer look at the cake,eat a dessert,lan,vis,targ,vis,lan,2
2060,am naughty,,steal the food from his plate,join these ladies and judge these cakes,eat the pizza on the table,clean my uniform when i finish cutting the cake,steal the cake,lan,vis,lan,vis,targ,4
2062,really want to enjoy myself at a wedding,,eat a dessert,eat a little dessert on my plate,go to the next birthday party eat brownies and watch them blow out the candles,help my child cut their cake,indulge myself with the cake,lan,lan,vis,vis,targ,4
2063,am feeling hungry,,join the boys and eat some cake,share some cake with my husband,watch the old man cutting the cake,order the same dessert as the man,i'll have a quick phone call with my husband to cheer myself up,vis,targ,vis,lan,lan,1
2068,want to celebrate,,get a glass of wine and join the people,drink my glass of wine.,watch the old man cutting the cake,have cake and champagne,help my child cut their cake,lan,lan,vis,targ,vis,3
2069,had some sweets that would be good,,join the boys and eat some cake,eat a donut with my friend,eat a dessert,they prepare a surprise party and a cake,cut my wedding cake and have a big piece,targ,lan,lan,vis,vis,0
2070,want to show off,,cut the cake with a quick slash down,take the pizza away and eat it myself,cut the sandwiches in half with the knife,attend my friend's wedding and eat cake!,i will make a cake and invite friends.,targ,lan,lan,vis,vis,0
2071,if i am celebrating,,push the cake into their faces.,i will eat an entire box of donuts.,i will eat those brownies,give a plate with a cake to my horses,i will blow the candles on my birthday cake.,vis,lan,lan,vis,targ,4
2075,was feeling naughty,,feel like grabbing a napkin.,i will make a cake and invite friends.,put my finger in the frosting.,take a huge bite out of my sandwich,go to a wedding to watch the cake cutting.,lan,vis,targ,lan,vis,2
2080,want to avoid getting fatter,,eat the food on the table,let the children eat all of the birthday cake,have a piece of wedding cake,go to a wedding to watch the cake cutting.,eat pizza with this lady and baby,lan,targ,vis,vis,lan,1
2081,want to help my grandfather celebrate his birthday,,pull his head out of the oven.,jump in and grab some pizza,smash several men's faces into cream pies.,spear the cake with the sword,help him pass out the cake.,lan,lan,vis,vis,targ,4
2087,want to be happy,,cut my wedding cake,go to the next birthday party eat brownies and watch them blow out the candles,blow out the candles,invite my friends over for a meal,i will take a deep breath while slicing the cake with my new husband.,vis,targ,lan,lan,vis,1
2088,want to share,,spear the cake with the sword,eat desserts with my friends,celebrate and have cake with my co-workers,help my child cut their cake,go to a birthday party and celebrate.,vis,lan,targ,vis,lan,2
2091,want to help,,eat a slice like the girl,enjoy some cake and a cup of tea,eat pizza with this lady and baby,sing happy birthday and blow out the candles on the cake,help the woman cut the cake,lan,vis,lan,vis,targ,4
2106,want to eat something,,sit at a table to eat some food,sit at the table and eat cake,spear the cake with the sword,dip a finger into the icing on that cake,join the group of people for dinner at the table,lan,targ,vis,vis,lan,1
2112,am in a happy mood,,eat cake with my wife,they prepare a surprise party and a cake,carefully watch what the boy is doing near the oven.,clap when the little boy cuts the cake.,listen to the children sing into the microphone.,vis,vis,lan,targ,lan,3
2114,if i am feeling fun.,,blow out the candles on the cake,take a bite of the cupcake,i'm going to devour everything,i will cut cake and eat some.,spear the cake with the sword,vis,lan,lan,targ,vis,3
2115,am worried about safety,,help my mom and feed my little brother,sing happy birthday and blow out the candles on the cake,i will feed my kid better.,enjoy some cake and a cup of tea,help my child cut their cake,lan,vis,lan,vis,targ,4
2119,feel naughty,,dip a finger into the icing on that cake,eat a slice like the girl,celebrate and have cake with my co-workers,eat cake and enjoy myself with this family and baby.,cut the sandwiches in half with the knife,targ,lan,vis,vis,lan,0
2120,to get the best part,,host a cookie making party,cut the cake by myself and get the best part of it,eat my food at a table,take a photo of the boy and the cake,eat the giant pizza with my friends,vis,targ,lan,vis,lan,1
2125,was wanted dessert,,attend my friend's wedding and eat cake!,get them together for a doughnut eating competition,blow out candles the candles on my cake and eat it,order a slice of cake like this man,take a slice of pizza,vis,lan,vis,targ,lan,3
2133,use my senses,,join this young boy and eat a donut,be able to get a piece of cake like the boy has,celebrate my birthday with cake and friends,make him homemade pizza,cut my wedding cake with a sword,lan,targ,vis,lan,vis,1
2150,am excited for the achievements,,put my feet up on my desk at work.,buy a cake and share it with his friends,clean my uniform when i finish cutting the cake,work in my kitchen and fix food to eat,act silly with this man and eat cake,lan,vis,targ,lan,vis,2
2155,want to have fun,,help cut my boy's birthday cake,wait until the cookies are baked,invite my friends over for a meal,eat a pizza for dinner at a table,go to a party and eat cake,vis,vis,lan,lan,targ,4
2159,eat something sweet,,i would blow out candles on my cake.,cut a piece of cake and serve it on py plate,eat the food on the plate,attend my friend's wedding and eat cake!,cut a piece,vis,targ,lan,vis,lan,1
2164,want something to eat,,take that donut and eat it,go to a party and eat cake,go to the next birthday party eat brownies and watch them blow out the candles,eat a little dessert on my plate,cut this cake,lan,vis,vis,lan,targ,4
2166,if someone at my job were on birthday,,eat cake from a plate with my fork,we would surprise you with a cake,prepare the food,eat a dessert,take a picture of the couple cutting their wedding cake,vis,targ,lan,lan,vis,1
2196,feel like making a selection,,celebrate my birthday with a cake,slice a cake to try a piece,take a slice of pizza,prepare a dessert in the kitchen,buy a cake and share it with his friends,vis,targ,lan,lan,vis,1
2198,want to eat,,make things at the table,take the food out of the oven,go to the next birthday party eat brownies and watch them blow out the candles,i will marry my man and eat some cake.,cut the cake,lan,lan,vis,vis,targ,4
2203,want to catch the moment,,i will eat a slice of cake,attend the wedding,take a picture of the couple cutting their wedding cake,take a picture of the bride and groom,eat some cake and ice cream,vis,lan,targ,lan,vis,2
2224,want to open this jar so i can eat,,prepare a dessert in the kitchen,eat this meal this afternoon,open this jar to complete the meal and enjoy this beautiful table,wait until the cookies are baked,push the cake plates into the mens faces,lan,lan,targ,vis,vis,2
2226,want to give my opinion,,blow out candles the candles on my cake and eat it,eat the food these women are making,make a cake and put a candle on it,join these ladies and judge these cakes,i must eat with this woman,vis,lan,vis,targ,lan,3
2230,am hungry,,prepare bread treats on a buffet table,select some pastries to eat,throw my boy a birthday party with a cake and candles,make a big sandwich with some friends,cut my wedding cake with a sword,lan,targ,vis,lan,vis,1
2231,wanted to help,,take the pizza away and eat it myself,offer to cut the cake,smash several men's faces into cream pies.,make him homemade pizza,i will marry my man and eat some cake.,lan,targ,vis,lan,vis,1
2233,want to be helpful,,join them for lunch and drinks at a restaurant,wait until the cookies are baked,blow out candles on my cake.,offer to serve the cake,offer than man a napkin,lan,vis,vis,targ,lan,3
2236,am feeling trapped out to sea,,eat a donut with my friend,make the best of my friends and eat plenty of patriotic cake,eat a doughnut with chocolate sprinkles,wait to be given some cake when the woman has cut it,cut the cake with a quick slash down,lan,targ,lan,vis,vis,1
2241,want to celebrate a birthday,,cook something in the oven,i would have cake with soldiers.,cook something in the microwave,push the cake plates into the mens faces,make a cake and put a candle on it,lan,vis,lan,vis,targ,4
2273,am being nice,,cook a dessert,give a child a birthday cake.,wait te eat some wedding cake,take a picture of my daughter eating pizza.,i will take a couple of slices and leave the reception,lan,targ,vis,lan,vis,1
2278,am feeling happy,,sing happy birthday and blow out the candles on the cake,watch the old man cutting the cake,buy him a cake and invite his friends to party,go to a birthday party and celebrate.,i would have cake with soldiers.,targ,vis,lan,lan,vis,0
2279,if i am hungry.,,have birthday cake on the living room carpet,i will cut this cake and eat it.,i will eat a donut,smash several men's faces into cream pies.,take that donut and eat it,vis,targ,lan,vis,lan,1
2283,feel hungry,,cut a slice of pizza for the lady,wait to be given some cake when the woman has cut it,offer to hold the carrots for the woman,buy a cake and share it with his friends,join the boys and eat some cake,lan,targ,lan,vis,vis,1
2311,want a dessert,,buy my little girl a birthday cake,wait te eat some wedding cake,raise a glass to the bride and groom,give a child a birthday cake.,go to the wedding,vis,targ,lan,vis,lan,1
2314,want to eat something sweet,,use my fork and eat cake,have birthday cake on the living room carpet,eat just one slice of pizza,sit on the chair and ask for a good plate of food,share the cake with the dogs,targ,vis,lan,lan,vis,0
2324,want to impress people,,get a picture of my wedding.,go to this couple's wedding,eat some cake and ice cream,help my bride cut the cake,then serve the cake to the children.,lan,lan,vis,targ,vis,3
2348,am interested,,cook a real good meal in this kitchen,order more brownies or cakes,cook a dessert,select some pastries to eat,watch the man make the cake,lan,vis,lan,vis,targ,4
2361,am sitting down,,steal the cake from the woman.,watch the old man cutting the cake,pick up a spoon and feed this boy,talk to the chef,eat birthday cake with my team.,vis,targ,lan,lan,vis,1
2362,feel like celebrating,,go out to eat with my family,eat cake and enjoy myself with this family and baby.,wait to be given some cake when the woman has cut it,compliment the woman on the cake,eat and drink with my friends,lan,targ,vis,vis,lan,1
2363,want to celebrate,,i will leave these people with their cake,start decorating for christmas using baubles in the pot,go to a birthday party and celebrate.,blow out the candles on a cake,i will take a couple of slices and leave the reception,vis,lan,lan,targ,vis,3
2373,if i wanted to play gooseberry,,open this jar to complete the meal and enjoy this beautiful table,i will join friends for dinner,i will leave these people with their cake,i will take some snacks,buy a cake to eat with him.,vis,lan,targ,lan,vis,2
2376,want to win the game,,join the frisbee game,walk into the man playing a game of frisbee,join my friends for a game of frisbee,hit her in the face with a frisbee,have to do my best to catch the frisbee,lan,vis,lan,vis,targ,4
2377,love for all,,i love this frisbee,try to watch the men playing with the frisbee,play a game of frisbee with these people.,try to block the man from throwing the frisbee.,go snowboarding with these guys,targ,vis,lan,vis,lan,0
2378,want to train an animal,,teach a dog to catch a frisbee,play with the frisbee all afternoon on the field,laugh at the man playing with the frisbee,play with the frisbee all afternoon,throw a disc at you,targ,lan,vis,lan,vis,0
2379,want to get some exercise,,play a game of frisbee with these people.,try to block the man from throwing the frisbee.,throw this frisbee around.,try to watch the men playing with the frisbee,consider playing a game of frisbee on the beach,lan,vis,targ,vis,lan,2
2380,can catch this,,join my friends for a game of frisbee,will be able to toss the frisbee back,take my dog for a game of frisbee in the park,stay and watch the dog perform its jumping tricks with the frisbee.,try to watch the men playing with the frisbee,lan,targ,lan,vis,vis,1
2381,silly,,compliment the man on his one-legged frisbee catch,run up and steal the frisbee,consider playing a game of frisbee on the beach,have a game of frisbee with them,throw all the frisbees in different directions,vis,targ,lan,lan,vis,1
2382,feel like playing a game,,watch the baseball player hit the ball,see if the person hits the ball,catch the frisbee when it is thrown,stay and watch the dog perform its jumping tricks with the frisbee.,i will leave these men to play their little frisbee game,lan,lan,targ,vis,vis,2
2383,have a good aim,,play a game of frisbee with some friends,throw the frisbee well,join the frisbee game,try to block the man from throwing the frisbee.,try to watch the men playing with the frisbee,lan,targ,lan,vis,vis,1
2385,want to play,,steal a pretzel off the rack and run,i will see if the man catches the frisbee,play a game of frisbee with them,i will leave these men to play their little frisbee game,steal their frisbee,lan,vis,lan,vis,targ,4
2386,want to win the game,,throw the frisbee,try to block the man from throwing the frisbee.,consider playing a game of frisbee on the beach,stay and watch the dog perform its jumping tricks with the frisbee.,join the frisbee game,targ,vis,lan,vis,lan,0
2388,get some exercise,,finish the trick on my skateboard,join a frisbee team,i will leave these men to play their little frisbee game,throw a frisbee,stay and watch the dog perform its jumping tricks with the frisbee.,lan,lan,vis,targ,vis,3
2389,am curious who is playing,,watch the frisbee to see who catches it,i will join in a game of frisbee with these people,catch the tennis ball,catch the frisbee quicker without fear of falling on the grass.,pay attention to how the man plays tennis,targ,vis,lan,vis,lan,0
2390,am not in a hurry,,catch it in my glove,play a game of wiffle ball,throw a disc at you,indicate to the man to toss me the frisbee,hit her in the face with a frisbee,lan,lan,vis,targ,vis,3
2397,am carrying my camera,,hold my breath until the skateboarder completes his trick,jump up and grab the frisbee from the girl,take a photo of the man doing tricks with the frisbee,try skateboarding tricks like this man,toss the frisbee and hit the sign,lan,vis,targ,lan,vis,2
2402,am feeling silly.,,watch the man on the skateboard,i will leave these men to play their little frisbee game,watch the man skateboard,catch a frisbee to impress my girl,slap the frisbee out of the man's hand.,lan,vis,lan,vis,targ,4
2403,want to enjoy the beautiful weather,,have a game of frisbee with them,join the frisbee game,join in a game of frisbee,catch a frisbee to impress my girl,i will see if the man catches the frisbee,lan,lan,targ,vis,vis,2
2408,enjoy watching sporting events,,take the frisbee and run away with it,watch the men play with the frisbee,play frisbee with these men,watch someone play frisbee,let my dog off her leash so she can grab the frisbee.,vis,targ,lan,lan,vis,1
2410,this is very funny,,i will continue playing with the frisbee,jump up and grab the frisbee from the girl,play a game of competitive frisbee,join my friends playing frisbee,toss the frisbee and hit the sign,targ,vis,lan,lan,vis,0
2419,have a light schedule with time to spare,,stay and watch the dog perform its jumping tricks with the frisbee.,will be able to toss the frisbee back,play frisbee in the park,throw a disc at you,play frisbee,targ,vis,lan,vis,lan,0
2425,want to show off,,watch the man with the frisbees and the dog,play with a frisbee in the park,catch a frisbee to impress my girl,play a frisbee match at the local park with some friends,walk into the man playing a game of frisbee,vis,lan,targ,lan,vis,2
2434,want a good laugh,,throw all the frisbees in different directions,catch a frisbee to impress my girl,indicate to the man to toss me the frisbee,throw the baseball to a team member,play a game of frisbee with them,targ,vis,vis,lan,lan,0
2441,am at a party,,join in on the frisbee game,i will see if the man catches the frisbee,join in on the fun of an ultimate frisbee match.,play a game of frisbee with these people.,toss the frisbee and hit the sign,targ,vis,lan,lan,vis,0
2443,if i wanted to waste time in a park,,compete in a game of frisbee golf with my friends,play with a frisbee in the park,throw a disc at you,jump up and grab the frisbee from the girl,i will leave these men to play their little frisbee game,lan,lan,vis,vis,targ,4
2455,want to have fun,,i will see if the man catches the frisbee,throw the frisbee with friends.,play with a frisbee in the park,indicate to the man to toss me the frisbee,throw a tennis ball.,vis,targ,lan,vis,lan,1
2458,want to be mean.,,compliment the man on his one-legged frisbee catch,play with the frisbee all afternoon,have a game of frisbee with them,let my dog off her leash so she can grab the frisbee.,laugh at the man playing with the frisbee,vis,lan,lan,targ,vis,3
2460,want to join in,,catch the ball with my glove,catch and throw the frisbee back to the kid,catch the tennis ball,compliment the man on his one-legged frisbee catch,watch the man with the frisbees and the dog,lan,targ,lan,vis,vis,1
2461,don't want to get hit in the face,,run up and knock this guy off his skateboard,catch a frisbee to impress my girl,move out of the way of the man and the frisbee,jump up in the air to try to catch a frisbee,be on the grass playing ball,lan,vis,targ,vis,lan,2
2468,am feeling sporty,,i will join in a game of frisbee with these people,i play with my dog and my frisbee,catch the frisbee and throw it in another direction,catch the ball,throw the tennis ball,vis,vis,targ,lan,lan,2
2471,am impressed,,run off the grass where the women are playing frisbee,let my dog off her leash so she can grab the frisbee.,take the frisbee and run away with it,compliment the man on his one-legged frisbee catch,compete in a game of frisbee golf with my friends,lan,vis,vis,targ,lan,3
2472,am interested in sports,,try to watch the men playing with the frisbee,pay attention to how the man plays tennis,watch the man perform on his skateboard,throw all the frisbees in different directions,take the frisbee and run away with it,targ,lan,lan,vis,vis,0
2486,am feeling mean,,watch the people play with the frisbee,compliment the man on his one-legged frisbee catch,play a game of frisbee with them,take the frisbee and run away with it,steal the food from thee dog.,vis,vis,lan,targ,lan,3
2487,i feel refreshed,,i will see if the person hit the ball,i will catch this ball.,hit her in the face with a frisbee,throw all the frisbees in different directions,i will see if the man catches the frisbee,lan,lan,vis,vis,targ,4
2492,am playing defense,,i will play with my frisbee,play frisbee with the men,try to block the man from throwing the frisbee.,i play with my dog and my frisbee,throw frisbee at the park,vis,lan,targ,vis,lan,2
2493,feel like wasting time,,watch a man play with a frisbee,let my dog off her leash so she can grab the frisbee.,play frisbee with the men,play frisbee in the park,toss the frisbee and hit the sign,targ,vis,lan,lan,vis,0
2499,devious,,will be able to toss the frisbee back,throw frisbee at the park,jump up and grab the frisbee from the man,i love this frisbee,play extreme frisbee with the man,vis,lan,targ,vis,lan,2
2526,want to play,,have a game of frisbee with them,join this group of people and play frisbee,let my dog off her leash so she can grab the frisbee.,join the game of frisbee,jump up and grab the frisbee from the girl,lan,lan,vis,targ,vis,3
2530,if i wanted to watch a team sport,,i will leave as football (aka soccer) is boring,i would stop to watch the children play football,i will leave immediately as team games are incredibly boring,i will leave immediately as i hate team games,cheer the boy on to run,targ,vis,lan,lan,vis,0
2531,having a good time,,watch people playing soccer,will shoot some basketball,kick the ball into the goal,i would enroll her in a soccer school,watch the girl play tennis,targ,vis,lan,vis,lan,0
2532,need a break from the grind of work,,play a game of soccer with friends,will run on the field kicking the soccer ball,go near my favorite player and get a autograph,play a game of virtual baseball,play a game of tennis,targ,vis,vis,lan,lan,0
2533,want to learn the game,,watch the player hit the ball,i will leave as i am not a girl who likes football,will shoot some basketball,watch these people play soccer,cheer for the man playing tennis,lan,vis,vis,targ,lan,3
2534,wanted be happy,,go near my favorite player and get a autograph,watch the player hit the ball,watch the players playing the game,i would stop to watch the children play football,watch the soccer game,vis,lan,lan,vis,targ,4
2535,if i had a daughter,,watch the men play a game of football,i would enroll her in a soccer school,try skiing with this woman,i would play tennis with someone.,cheer the boy on to run,vis,targ,lan,lan,vis,1
2536,play sports,,play frisbee football and outrun everyone,toss the ball into the hoop,go near my favorite player and get a autograph,play basketball,will run on the field kicking the soccer ball,lan,lan,vis,targ,vis,3
2537,want to be a supportive parent,,watch my kids play soccer,play tennis with the cute little boy,go near my favorite player and get a autograph,gladly serve football to our star quarterback.,watch the boy play tennis,targ,lan,vis,vis,lan,0
2541,want to play sport,,i would play tennis against this man,will run on the field kicking the soccer ball,go and watch a football game,play baseball with this boy,play rugby with this guy,lan,vis,vis,lan,targ,4
2542,want to attend a sport event,,i would enroll her in a soccer school,take my dog and go and watch the cricket,shout encouragement during the game because the boys are fighting over the soccer ball,stop and watch thebaseball game,go and watch a football game,vis,lan,vis,lan,targ,4
2551,get to it first,,kick the soccer ball before the other boy,join the men in playing rugby,play with the dog,throw a snowball at the man.,go and watch a football game,targ,vis,lan,lan,vis,0
2553,am feeling patriotic,,throw the ball to a member of my team,will run on the field kicking the soccer ball,play a game of baseball with my teammates,cheer the boy on to run,play for my home team,lan,vis,lan,vis,targ,4
2554,want to understand what's going on,,wait until the goalie catches the ball,try to become more active and play football with a team,listen for the referee to explain why these soccer players are so angry.,watch the player hit the ball,play some rugby to show off to my girlfriend,lan,vis,targ,lan,vis,2
2555,if i was a girl and wanted to play sport i would be here,,i will leave immediately as i hate team games,i will leave as i am not a girl who likes football,watch kids play soccer,cheer the boy on to run,i will hope the woman wins the tennis match,lan,targ,vis,vis,lan,1
2563,sporty,,play catch with the boy,try to play with the athlete,play tennis to have fun.,listen for the referee to explain why these soccer players are so angry.,shout encouragement during the game because the boys are fighting over the soccer ball,lan,targ,lan,vis,vis,1
2565,want to capture a memorable moment.,,play in the snow like the kid,sit down and watch the volleyball game,take a picture of my son playing soccer.,join the men in playing rugby,play with my son and his kite.,lan,vis,targ,vis,lan,2
2566,want to be outdoors,,go and watch a football game,go and join a ball game,kick a soccer ball in the field,jump up and grab the frisbee from the man,play tennis on a court,vis,vis,targ,lan,lan,2
2567,need something to do,,i will leave as i am not a girl who likes football,watch the player hit the ball,watch kids play soccer,will shoot some basketball,sit and watch the children play,vis,lan,targ,vis,lan,2
2568,was watching the game,,watch football on tv,cheer if he hits the ball accurately,i would stop to watch the children play football,cheer the boy on to run,cheer at the man doing the skateboard tricks,vis,lan,vis,targ,lan,3
2570,if i felt like enjoying the outdoors,,i will attend a soccer game,i will play baseball with the team,attend a tennis tournament and watch my favorite player,i would stop to watch the children play football,watch the men play a game of football,targ,lan,lan,vis,vis,0
2574,want to see fair play,,concentrate to see the ball coming,tell the referee about the foul on the soccer field,watch to see if the player hits the ball,try to become more active and play football with a team,play some rugby to show off to my girlfriend,lan,targ,lan,vis,vis,1
2580,was interested in sports,,go play a great sport volleyball.,will shoot some basketball,play a game of catch with a dog in the park,watch old men play baseball,i would stop to watch the children play football,vis,vis,lan,lan,targ,4
2602,need to,,i will leave as i am not a girl who likes football,walk away from the guys playing basketball.,go see the children play soccer.,take the ball from the kids,go to the park and watch the boy on the skateboard,vis,vis,targ,lan,lan,2
2605,feel sporty,,go and watch a football game,steal the skateboard from that kid,try to become more active and play football with a team,steal the soccer ball,borrow this woman's hat,vis,lan,vis,targ,lan,3
2606,feeling sporty i would attend a game,,chase the soccer ball down the street,go out to the field and join all the other people,try to become more active and play football with a team,join this group of people and play frisbee,watch the little league girls soccer game at the park,vis,lan,targ,lan,vis,2
2611,am feeling relaxed,,join the spectator and watch tennis,go to the ball park and watch a game,sit down and watch the volleyball game,listen for the referee to explain why these soccer players are so angry.,i would enroll her in a soccer school,lan,lan,targ,vis,vis,2
2614,want to learn,,join the group to learn soccer.,shout encouragement during the game because the boys are fighting over the soccer ball,walk away from the guys playing basketball.,join the team and complete a run,play frisbee with the team,targ,vis,vis,lan,lan,0
2636,was out of work and had sports connections,,sit on the grass and watch soccer,gladly serve football to our star quarterback.,cheer for the game,cheer for the man if he wins the game,watch kids play soccer,vis,targ,lan,lan,vis,1
2639,want to get my favorite a sign,,watch the baseball players and hope that i can catch a ball.,go near my favorite player and get a autograph,take a photo of the player,do sport all afternoon,play kick ball with a group of kids in the dirt street,lan,targ,lan,vis,vis,1
2641,was feeling adventurous,,watch the little league girls soccer game at the park,join the men in playing rugby,touch the soccer ball,join the tennis,join in with the boys and play some tennis,vis,targ,vis,lan,lan,1
2659,am curious,,play frisbee with the little girl,try to become more active and play football with a team,watch her play tennis,touch the soccer ball,join the men in playing rugby,lan,vis,lan,targ,vis,3
2681,want to see something boring,,watch people play baseball,watch the men play a game of football,hit the ball back at the man,i would train to be an athlete,i would enroll her in a soccer school,lan,targ,lan,vis,vis,1
2689,want to sit after a long hour standing on the line,,sit on the grass and watch soccer,i would train to be an athlete,pick up a ball and racket and play tennis,coach the youth soccer team.,go to the park and play with my frisbee,targ,vis,lan,vis,lan,0
2702,want to travel home,,wait for the man with the cigarette to stop polluting the atmosphere,drive along the road,drive the motorcycle to get home,stealthily unzip his backpack and take his possessions,hitch a ride on a moped,vis,targ,lan,vis,lan,1
2703,am interested,,avoid a crowd in the street.,stop to see what is going on with the people in the street,watch groups of people pass by on the street,i get on a fire truck,i will drive that car.,lan,targ,lan,vis,vis,1
2704,feel like there is a danger,,take a ride on the bus,wait my turn after the woman to pay for my parking ticket before leaving the parking garage,get out of the road,wait for the man with the cigarette to stop polluting the atmosphere,go home and ride my bike,lan,vis,targ,vis,lan,2
2705,go to a gathering,,go look at old trucks,take the baseball bat from the man,stay away from cops,join the bikers on the road,wait for the man with the cigarette to stop polluting the atmosphere,vis,lan,targ,lan,vis,2
2706,want to feel safe,,go over to the three officers on the street corner,be able to jump the curb,go up to the counter and order some pizza.,walk around discovering the town like these people.,wait for the motercycle to pass,targ,vis,lan,lan,vis,0
2707,iwant to get fit,,join in the race,stealthily unzip his backpack and take his possessions,join the people in the snow,go for a ride in a personal planen,wait for the man with the cigarette to stop polluting the atmosphere,targ,vis,lan,lan,vis,0
2708,do not want any nightmares,,be able to get around the orange cones,avoid the man carrying a sledgehammer,go look at old trucks,get a skateboard and perform a trick,walk past the man and his motorcycle to get to the street,vis,targ,vis,lan,lan,1
2709,see another youth breaking the law,,stay away from the skateboarders,look out the window and enjoy the view,encourage the boy to have a go on the skateboard ramp,tell the police this skateboarder needs to be cited.,go look at old trucks,lan,vis,lan,targ,vis,3
2710,feel self conscious,,ride the bus like the children,ignore the passengers,stealthily unzip his backpack and take his possessions,take a ride on the bus,wait my turn after the woman to pay for my parking ticket before leaving the parking garage,lan,targ,vis,lan,vis,1
2711,like they are resting,,use a cell phone on the busy street,wait for the motercycle to pass,go look at old trucks,walk in a parade with a group of people.,walk around the officers,lan,vis,vis,lan,targ,4
2712,feel like being chatty,,talk with fellow police officers about our days,be able to jump the curb,keep my patience and describe times i helped those in my community,wait on the curb and look both ways before crossing the street,argue with the protestors about their sign.,targ,vis,lan,vis,lan,0
2723,am sleezy,,try to zip myself into this suitcase,wait for the motercycle to pass,overtake these people,sit next to him near the light,stealthily unzip his backpack and take his possessions,lan,vis,vis,lan,targ,4
2725,want to be safe,,stay on the motorbike,say excuse me to the people on the street,look both ways before crossing the street.,i will drive that car.,stealthily unzip his backpack and take his possessions,lan,lan,targ,vis,vis,2
2738,desperate to survive,,wait for the motercycle to pass,take a stroll though the city,start yelling for this man to run,sort through trash on the streets,pick up some of the litter on the ground and put it in the bin.,vis,lan,vis,targ,lan,3
2739,get bored,,wait my turn after the woman to pay for my parking ticket before leaving the parking garage,go look at old trucks,find out information about motorbikes,go snowboarding with these guys,will talk to the man leaning out of the window,vis,targ,lan,lan,vis,1
