id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
1037,i'm hungry,,i will enjoy the food the cooks are making,i will stay here and watch this woman try to cook,go to the kitchen to get food,i will learn to cook some day.,i will look for food in this refrigerator,lan,vis,lan,vis,targ,4
1038,really learnt the lesson,,cook a real good meal in this kitchen,eat the food on the table,eat some dishes of food,i will stay here and watch this woman try to cook,be able to get my mixer,targ,lan,lan,vis,vis,0
1039,love the food,,help the kids make dinner,go into the restaurant and buy some food,join the man for food,i will stay here and watch this woman try to cook,buy a kitchen,vis,lan,lan,vis,targ,4
1040,have ordered,,i will stay here and watch this woman try to cook,wait for the chefs to make my food,i will do my job as a chef,go to the kitchen to talk with my mom.,take a plate and help myself to some of the desserts on the table,vis,targ,lan,vis,lan,1
1041,want something to eat,,make them a nice dinner with my husband,i will stay here and watch this woman try to cook,be able to get my mixer,buy a big cake and other food and celebrate in the kitchen at work,buy food from the boy cooking,lan,vis,vis,lan,targ,4
1042,am hungry,,eat a meal a hot dog with friends,i will learn to cook some day.,make sushi for my friends.,make some food with eggs noodles and vegtables,put my head inside the oven to find the fault,lan,vis,lan,targ,vis,3
1043,if i am working hard.,,i will cut the cake,i will learn to cook some day.,i will take food from this oven.,read a book while cooking with a pot,i will take some snacks,lan,vis,targ,vis,lan,2
1044,want to look inside the home appliance,,look at the microwave for a while,hire the best group of men to help me in my kitchen.,put the pizza in the oven,eat some cereal from a bowl,i will stay here and watch this woman try to cook,targ,vis,lan,lan,vis,0
1045,am feeling hungry,,be able to get my mixer,eat in a fancy restaurant,cook food on the stove,eat out at a restaurant,teach my them to make a sandwich,vis,lan,targ,lan,vis,2
1046,want to sit down and cook this afternoon,,prepare dinner for dinner,i will stay here and watch this woman try to cook,take the meal to the table,eat dessert at the table,i will learn to cook some day.,targ,vis,lan,lan,vis,0
1047,want to make pastries,,roll the dough carefully,hire the best group of men to help me in my kitchen.,go to the kitchen to talk with my mom.,prepare bread treats on a buffet table,pretend this pizza is plastic,targ,vis,vis,lan,lan,0
1048,want to finish the dinner so i can eat,,prepare a meal,make a pizza for dinner,cook all the food on the stove,hire the best group of men to help me in my kitchen.,i will stay here and watch this woman try to cook,lan,lan,targ,vis,vis,2
1049,i feeling very working,,i will learn to cook some day.,take the milkshake off the table.,close the fridge door on the girl,i wilgo go the kitchen,i will stay here and watch this woman try to cook,vis,lan,lan,targ,vis,3
1050,i want to make sure thanksgiving is perfect,,check the turkey in the oven.,eat the cake before it is done,hire the best group of men to help me in my kitchen.,put candles in the cake,i will stay here and watch this woman try to cook,targ,lan,vis,lan,vis,0
1051,am thirsty,,put the pizza in the oven,have a drink from the microwave,hire the best group of men to help me in my kitchen.,eat some cereal from a bowl,help the women cooking the food,lan,targ,vis,lan,vis,1
1052,if i hungry,,use the proper equipment to move the appliance,offer my food to the man,i will cook,teach my child to make homemade pizza,eat my food on the roof patio,vis,lan,targ,vis,lan,2
1053,want to be helpful,,i will stay here and watch this woman try to cook,assist my friend with cooking,get food from the picnic table.,kill this cup in the microwave to heat the coffee,i will let the boy play and i chop the food,vis,targ,lan,vis,lan,1
1054,want to drink this hot coffee,,show off my dance moves in the kitchen.,set my alarm clock,open the door of the refrigerator and find a drink,help the man make dinner,kill this cup in the microwave to heat the coffee,vis,lan,lan,vis,targ,4
1055,want to get a drink,,talk to the man sitting on the wooden table with the blue radio,wait for the men to stop talking in the kitchen,teach my child to make homemade pizza,join the couple and sit on the table,i will stay here and watch this woman try to cook,lan,targ,vis,lan,vis,1
1056,want to cook,,make a pancake in the kitchen,i will learn to cook some day.,put the pizza in the oven,i will learn to bake a cake.,i will stay here and watch this woman try to cook,targ,vis,lan,lan,vis,0
1057,am hungry,,look in the fridge to see if there is any food,open the door of the refrigerator and find a drink,hire the best group of men to help me in my kitchen.,take some food from the table,be able to get my mixer,targ,lan,vis,lan,vis,0
1058,want to be helpful,,see what is in the fridge,join them for lunch and drinks at a restaurant,offer to clean up the kitchen,i will learn to cook some day.,make some food on the counter next to these people,vis,lan,targ,vis,lan,2
1059,if i wanted to learn how to cook i may observe here,,i will learn to cook some day.,i will observe the man in the kitchen,i will sit down for a meal with a group of people,sit down at the table with the people and eat,i will stay here and watch this woman try to cook,vis,targ,lan,lan,vis,1
1060,want to make a special request,,talk to the chef,i will learn to cook some day.,observe them as they prepare the food,i will stay here and watch this woman try to cook,take a table at the restaurant,targ,vis,lan,vis,lan,0
1061,if i feeling very hungry,,i will go to kitchen,i will order food in this restaurant,use the proper equipment to move the appliance,kill this cup in the microwave to heat the coffee,i will buy food at the market,targ,lan,vis,vis,lan,0
1062,am hungry,,i will stay here and watch this woman try to cook,open the door of the refrigerator and find a drink,be able to get my mixer,look in the refrigerator for food.,take some food from the table,vis,lan,vis,targ,lan,3
1063,am feeling hungry,,i will stay here and watch this woman try to cook,eat in a fancy restaurant,offer to help with the food preparation,take some of the food from the kitchen,teach my child to make homemade pizza,vis,lan,lan,targ,vis,3
1064,feel hungry,,cook something in the kitchen,go out for a meal with some men,put dinner on the table soon,teach my child to make homemade pizza,be able to get my mixer,targ,lan,lan,vis,vis,0
1065,want some food,,open the refrigerator,hold my hot dog in a napkin,i will stay here and watch this woman try to cook,go to the kitchen to get food,help the women cooking the food,targ,lan,vis,lan,vis,0
1066,get these done i will be proud of myself,,be a great chef one day,i will stay here and watch this woman try to cook,shop the market for food.,eat some dishes of food,put my head inside the oven to find the fault,targ,vis,lan,lan,vis,0
1067,ask them to move,,be able to get my mixer,check the food is fully cooked,i will stay here and watch this woman try to cook,raise a glass to the bride and groom,serve my guests wine,targ,vis,vis,lan,lan,0
1068,need to find the fault in the kitchen,,put my head inside the oven to find the fault,i could taste the dough that my grandfather and my father make,make a pizza in the oven,open the door of the refrigerator and find a drink,make food like the men,targ,vis,lan,lan,vis,0
1069,wonder why he's gassing himself.,,eat outside like the little boy.,pull his head out of the oven.,help those women to cook,offer to light the candle,i will stay here and watch this woman try to cook,lan,targ,vis,lan,vis,1
1070,want to become a master cook,,make some food after this man finishes.,put my head inside the oven to find the fault,i will become a master chef,use the proper equipment to move the appliance,i will enjoy the food the cooks are making,lan,vis,targ,vis,lan,2
1071,want to enjoy doing my job,,i will stay here and watch this woman try to cook,eat in the living room,do some funny faces at the kitchen to have a nice ambient,teach my child to make homemade pizza,make funny faces with the women,vis,lan,targ,vis,lan,2
1072,want to cook,,join the family for dinner,get food from the picnic table.,i will learn to cook some day.,borrow the cooking equipment,i will stay here and watch this woman try to cook,lan,lan,vis,targ,vis,3
1073,if i feeling very busy,,use the proper equipment to move the appliance,i will go to kitchen,i will order food in this restaurant,i will enjoy the food the cooks are making,be able to teach him to use the microwave,vis,targ,lan,lan,vis,1
1074,want something to eat,,i will learn to cook some day.,eat in the living room,join the men at the table for some food,i will stay here and watch this woman try to cook,get some food from the kitchen,vis,lan,lan,vis,targ,4
1075,want my daughters to get married,,buy some produce from a woman,see what is in the fridge,watch a dining programme on the television,teach my them to make a sandwich,eat a hot dog like the lady,lan,vis,vis,targ,lan,3
1076,can't get enough heat in the summer,,i will stay here and watch this woman try to cook,help the kids make dinner,turn on your oven,get a lemon in the center of my pizza,open the garage door,vis,vis,targ,lan,lan,2
1077,am hungry,,help those women to cook,take the milkshake off the table.,hire the best group of men to help me in my kitchen.,look in the fridge,open the door of the refrigerator and find a drink,vis,lan,vis,targ,lan,3
1078,have a lot of free time before dinner,,teach my child to make homemade pizza,tell them that the microwave is radioactive,steal this kid's breakfast,take a picture of my daughter eating pizza.,i will learn to cook some day.,targ,vis,lan,lan,vis,0
1079,if i feeling very hungry,,i will take a couple of slices and leave the reception,be able to teach him to use the microwave,go to the desk and serve me some food,i will learn to cook some day.,i will go to kitchen,lan,vis,lan,vis,targ,4
1080,want to cook a meal for the family,,i will cut this cake and eat it.,go to the kitchen to talk with my mom.,i will learn to cook some day.,prepare the pots and pans that i will need to use.,i will take a couple of slices and leave the reception,lan,vis,vis,targ,lan,3
1081,look at the tree,,host a barbeque in my back grden,tell them that the microwave is radioactive,go to the kitchen to talk with my mom.,help the man cook,eat breakfast with this little boy.,lan,vis,vis,targ,lan,3
1082,do my best,,hire the best group of men to help me in my kitchen.,go to a restaurant to eat a meal,enjoy a meal at the table,i will stay here and watch this woman try to cook,cook the food,vis,lan,lan,vis,targ,4
1083,want to play,,play tennis with the cute little boy,i will stay here and watch this woman try to cook,i will learn to cook some day.,sit at the table with the family,play with the chid in his kitchen,lan,vis,vis,lan,targ,4
1084,want to feed people,,i will stay here and watch this woman try to cook,i will do my job as a chef,eat out at a restaurant,cook food in my kitchen.,be able to teach him to use the microwave,vis,lan,lan,targ,vis,3
1085,if i feeling very busy,,i will buy food at the market,i will learn to cook some day.,i will take a couple of slices and leave the reception,i will go to kitchen,i will stay here and watch this woman try to cook,lan,vis,lan,targ,vis,3
1086,want to have the best restaurant possible.,,wait by the oven for the food,hire the best group of men to help me in my kitchen.,i will do my job as a chef,grab a plate and partake of the food with the women.,i will learn to cook some day.,vis,targ,lan,lan,vis,1
1087,if i was in this room i would be very hot and uncomfortable,,teach my child to make homemade pizza,i will leave the kitchen immediately because of the temperature,open the door of the refrigerator and find a drink,i will close the lid toilet,chop some vegetables to have with lunch,vis,targ,lan,lan,vis,1
1088,i am in the kitchen,,i could taste the dough that my grandfather and my father make,i go with my family to a good restaurant,go to he kitchen to fix some food,i love mustard and i'll pour a lot,i will stay here and watch this woman try to cook,targ,lan,vis,lan,vis,0
1089,want to improve myselg,,look in the refrigerator after he is gone,learn how to cook new dishes,purchase fresh veggies from the woman,make a dark joke about people who put their heads in the oven,join this lady for dinner,vis,targ,lan,vis,lan,1
1090,want to earn a paycheck,,i will stay here and watch this woman try to cook,take the meal to the table,prepare food in the kitchen,i will learn to cook some day.,eat in a fancy restaurant,vis,lan,targ,vis,lan,2
1091,if i had a daughter,,i will let the boy play and i chop the food,put my head inside the oven to find the fault,use the proper equipment to move the appliance,i would teach him to cook,make pizzas with the kids,lan,vis,vis,targ,lan,3
1092,am feeling hungry,,i will tell them to hurry up with the food.,take a drink from the can,see what is in the fridge,go to the kitchen to talk with my mom.,i will stay here and watch this woman try to cook,lan,lan,targ,vis,vis,2
1093,feel hungry,,eat a sub with tomatoes,make something easy to eat that we both like..such as pizza,use the proper equipment to move the appliance,eat what is cooking in the oven,hire the best group of men to help me in my kitchen.,lan,lan,vis,targ,vis,3
1094,feel hungry,,order some food from the man,look in the refrigerator after he is gone,open the door of the refrigerator and find a drink,i will stay here and watch this woman try to cook,help those women to cook,lan,targ,lan,vis,vis,1
1095,this people in the kitchen,,i will go to the restaurant during lunch,i will stay here and watch this woman try to cook,i will order a meal in the restaurant,teach my child to make homemade pizza,i will go to the kitchen,lan,vis,lan,vis,targ,4
1096,want to make something different,,try my meal with the sauce to get a different taste,take them out for dinner,use a new recipe for dinner,be able to get my mixer,i will stay here and watch this woman try to cook,lan,lan,targ,vis,vis,2
1097,am cooking beef it would be delicious,,read a book while cooking with a pot,hire the best group of men to help me in my kitchen.,have a glass of wine,drink a glass of wine,i will stay here and watch this woman try to cook,targ,vis,lan,lan,vis,0
1098,if i feeling very busy,,i will learn to cook some day.,i will go to kitchen,i will buy food at the market,be able to teach him to use the microwave,help myself to some of the food from the table,vis,targ,lan,vis,lan,1
1099,if i want to have a delicious meal,,wash a pan,eat eggs benedict,go to the kitchen to get food,go to the desk and serve me some food,i will have to go to the kitchen and make something,vis,vis,lan,lan,targ,4
1100,think it is cooked,,eat this meal this afternoon,i will stay here and watch this woman try to cook,i will learn to cook some day.,spoon the potatoes out the pot to serve up,cut the cake and serve it to the others,lan,vis,vis,targ,lan,3
1101,want to be healthier,,join these people in the kitchen area to eat,chop some vegetables to have with lunch,be able to get my mixer,i go to the kitchen,eat a meal with pasta,lan,targ,vis,vis,lan,1
1102,prepare something tasty,,eat pasta with a fork,i will stay here and watch this woman try to cook,cut the vegetables,make a lot of food,watch the man cooking behind the counter,lan,vis,targ,lan,vis,2
1103,feel hungry,,i will learn to cook some day.,eat a little dessert on my plate,make pancakes.,make a big sandwich with some friends,i will stay here and watch this woman try to cook,vis,lan,targ,lan,vis,2
1104,think about what i want to cook,,consult with other chefs,put my head inside the oven to find the fault,go to a fresh food market,go to the kitchen to talk with my mom.,i will enjoy the food the cooks are making,targ,vis,lan,vis,lan,0
1105,was hungry,,make them a nice dinner with my husband,cook some food in the kitchen with these men.,i will stay here and watch this woman try to cook,be able to get my mixer,stand beside the men in black and listen to the table operators talk about wine,lan,targ,vis,vis,lan,1
1106,want to speed things along,,prepare a plate of food.,go to the kitchen to talk with my mom.,eat this meal this afternoon,i will stay here and watch this woman try to cook,help the chefs spoon portions from the big metal pot,lan,vis,lan,vis,targ,4
1107,want to satisfy my hunger,,be able to get my mixer,enjoy a meal at the table,take the meal to the table,put my head inside the oven to find the fault,prepare food in the kitchen,vis,lan,lan,vis,targ,4
1108,have a craving for food,,eat the dessert with a fork.,eat dessert at the table,go to the kitchen to talk with my mom.,prepare a vegetable salad.,i will stay here and watch this woman try to cook,lan,lan,vis,targ,vis,3
1109,live in the house,,help the other people to cook some food in the kitchen,do some funny faces at the kitchen to have a nice ambient,enjoy a meal at the table,tell them that the microwave is radioactive,put dinner on the table soon,targ,vis,lan,vis,lan,0
1110,want to eat,,be enjoying a sandwich along with them,i will stay here and watch this woman try to cook,cook food in the kitchen,go to a restaurant to eat a meal,teach my child to make homemade pizza,lan,vis,targ,lan,vis,2
1111,am hungry,,i will learn to cook some day.,join this family for a meal,i will stay here and watch this woman try to cook,join the people in the kitchen,join the family for dinner,vis,lan,vis,targ,lan,3
1112,am feeling hungry,,heat up food in the oven.,teach my them to make a sandwich,i will cook a pizza,hire the best group of men to help me in my kitchen.,eat the pasta from the plate,targ,vis,lan,vis,lan,0
1113,get hungry,,make some pasta,use the proper equipment to move the appliance,eat a sub with tomatoes,make a pizza in the oven,help those women to cook,targ,vis,lan,lan,vis,0
1114,want to feed my husband,,eat some dishes of food,hire the best group of men to help me in my kitchen.,use the proper equipment to move the appliance,eat a piece of the dish they are serving,cook a large meal,lan,vis,vis,lan,targ,4
1115,feel a little hungry,,make pizza with my children,eat the pasta from the plate,hire the best group of men to help me in my kitchen.,cook my food on the stove,i will stay here and watch this woman try to cook,lan,lan,vis,targ,vis,3
1116,am hungry,,make food like the men,make them a nice dinner with my husband,put my head inside the oven to find the fault,eat with the woman,attempt to fix the stove,targ,lan,vis,lan,vis,0
1117,want to do something different,,buy food from a vendor,go to a bakery,i will stay here and watch this woman try to cook,take a donut from the box,i will learn to cook some day.,lan,targ,vis,lan,vis,1
1118,ready to eat,,order a pizza,hire the best group of men to help me in my kitchen.,i will stay here and watch this woman try to cook,take the food out of the oven,take a plate of food,lan,vis,vis,targ,lan,3
1119,am being helpful,,i will have to go to the kitchen and make something,use toothpaste to clean my teeth,i will stay here and watch this woman try to cook,wash a pan,clean the mess on the floor,vis,lan,vis,targ,lan,3
1120,am hungry,,be able to get my mixer,i will stay here and watch this woman try to cook,make a pizza for dinner,use the ingredients to cook food,make some chicken to eat.,vis,vis,lan,targ,lan,3
1121,feel romantic,,eat in a fancy restaurant,i will learn to cook some day.,i will stay here and watch this woman try to cook,have a meal with candles,celebrate and blow the candle,lan,vis,vis,targ,lan,3
1122,am hungry,,eat dessert at the table,join a potluck food club at work.,put my head inside the oven to find the fault,make food in the kitchen,be able to get my mixer,lan,lan,vis,targ,vis,3
1123,am feeling social,,sit at a table and drink wine with friends,help the man cook,attend a house party with a kitchenaid mixer on top of the fridge,blow out the candles on the cake,i will learn to cook some day.,lan,vis,targ,lan,vis,2
1124,if i feeling very eating,,go to the desk and serve me some food,i will learn to cook some day.,be able to teach him to use the microwave,i will go to kitchen,take a place at the table and have a meal,lan,vis,vis,targ,lan,3
1125,cook italian,,eat the food in the bowl,help the man make dinner,use a microwave,take the bowl of cereal,i will stay here and watch this woman try to cook,lan,vis,targ,lan,vis,2
1126,if i wanted to watch a female who can't cook try i would watch,,i will watch the people play a game,i will stay here and watch this woman try to cook,look in the refrigerator for food.,i will change channel to this tv,will volunter for a food drive,lan,targ,vis,lan,vis,1
1127,want to relax and feel happy,,will go the kitchen and cook my favorite dish,put dinner on the table soon,carefully watch what the boy is doing near the oven.,look in the refrigerator after he is gone,i would prepare dinner,targ,lan,vis,vis,lan,0
1128,am hungry,,make a sandwich,be able to get my mixer,i will stay here and watch this woman try to cook,buy myself a hotdog for my lunch,eat a dog with sausage because i'm hungry,targ,vis,vis,lan,lan,0
1129,admire,,offer to hold the carrots for the woman,kill this cup in the microwave to heat the coffee,eat the food these women are making,would watch the men teach the little girl how to cook.,use the microwave to heat my coffee,lan,vis,lan,targ,vis,3
1130,want to make a joke,,make jokes with my co-workers,make jokes and laugh with my family,make a dark joke about people who put their heads in the oven,help the man cook,be able to get my mixer,lan,lan,targ,vis,vis,2
1131,want dinner,,i will stay here and watch this woman try to cook,make a pizza,make something in the oven.,hire the best group of men to help me in my kitchen.,i will learn to bake a cake.,vis,lan,targ,vis,lan,2
1132,if i want to impress,,i will stay out of the way of the batter,i will cook my best plate,i will stay here and watch this woman try to cook,go to the kitchen to talk with my mom.,i will cut cake and eat some.,lan,targ,vis,vis,lan,1
1133,if i feeling very sad,,i will enjoy the food the cooks are making,i will learn to cook some day.,i will go kitchen,i will stay here and watch this woman try to cook,help myself to some of the food from the table,lan,vis,targ,vis,lan,2
1134,am hungry,,cook some breakfast,go to the kitchen to get food,i will stay here and watch this woman try to cook,use the proper equipment to move the appliance,get food from the picnic table.,targ,lan,vis,vis,lan,0
1135,want to impress my guests,,learn to present my food like a chef,i will go to the restaurant during lunch,be able to teach him to use the microwave,will volunter for a food drive,make sushi for my friends.,targ,lan,vis,vis,lan,0
1136,am feeling hungry,,go to the kitchen to talk with my mom.,make a lot of food,feed these birds bread with the kids,make some eggs,i will learn to cook some day.,vis,lan,lan,targ,vis,3
1137,felt hunrgy,,bake a ladybug cake,cook an egg,i will stay here and watch this woman try to cook,make a pizza in the oven,go to the kitchen to talk with my mom.,lan,targ,vis,lan,vis,1
1138,go to grocery store,,make some chicken to eat.,get some flour to make cookies with my family,buy myself a box of donuts,wait for the men to stop talking in the kitchen,help the man cook,lan,targ,lan,vis,vis,1
1139,am hungry,,take some food from the table,see if there is anything to eat in the kitchen,be able to get my mixer,i will learn to cook some day.,grab a plate and get some food,lan,targ,vis,vis,lan,1
1140,am feeling hungry,,i will stay here and watch this woman try to cook,put the pizza in the oven,go to the kitchen to talk with my mom.,fry some potatoes in a pan,make something easy to eat that we both like..such as pizza,vis,lan,vis,targ,lan,3
1141,want to eat,,hire the best group of men to help me in my kitchen.,i will stay here and watch this woman try to cook,cook a dessert,slice a cake to try a piece,eat dessert at the table,vis,vis,targ,lan,lan,2
1142,want o mess around,,chop some vegetables to have with lunch,i will play in the kitchen,enjoy a meal at the table,i will stay here and watch this woman try to cook,invite all my friends into my party kitchen,vis,targ,lan,vis,lan,1
1143,want to eat,,eat dessert at the table,i will stay here and watch this woman try to cook,get food from the picnic table.,cook a dessert,hire the best group of men to help me in my kitchen.,lan,vis,lan,targ,vis,3
1144,want to teach my friend to cook,,enjoy this day cooking with my friends,use the proper equipment to move the appliance,we will go out for dinner,i will learn to cook some day.,eat this meal,targ,vis,lan,vis,lan,0
1145,want to prepare a pole with my friends,,prepare a meal,use the proper equipment to move the appliance,prepare a dessert in the kitchen,i will learn to cook some day.,prepare a plate of food.,lan,vis,targ,vis,lan,2
1146,were hungry,,i will give him something different to eat,help the man make dinner,i will stay here and watch this woman try to cook,use a microwave,i will go out to eat,lan,targ,vis,vis,lan,1
1147,want to promote healthy eating,,hire the best group of men to help me in my kitchen.,use the proper equipment to move the appliance,make some pizza,prepare a dish of broccoli.,make a pizza in the oven,vis,vis,lan,targ,lan,3
1148,i feeling very busy,,i will stay here and watch this woman try to cook,i will learn to cook some day.,i will go to the restaurant during lunch,i will enjoy the food the cooks are making,i will go to the kitchen,vis,vis,lan,lan,targ,4
1149,am feeling hungry,,i will stay here and watch this woman try to cook,eat the food on the table,put my head inside the oven to find the fault,take a place at the table and have a meal,get something to eat from the kitchen,vis,lan,vis,lan,targ,4
1150,want to eat,,go to the closest restaurant to eat with my partner.,i will learn to cook some day.,i will enjoy the food,i will stay here and watch this woman try to cook,enjoying cooking with my partner,lan,vis,lan,vis,targ,4
1151,want to make myself useful,,i will learn to cook some day.,turn on the sink's garbage disposal while the man is looking under the sink,wash my hands in the sink,help to wash up the pans in the kitchen,go to a bakery,vis,lan,lan,targ,vis,3
1152,want to stay clean,,teach my child to make homemade pizza,look in the fridge,wear an apron when i cook in the kitchen.,put dinner on the table soon,dress formally for the dinner.,vis,vis,targ,lan,lan,2
1153,if i tried to cook it would turn out like charcoal.,,watch a dining programme on the television,put paint on the man's white suit,i will learn to cook some day.,make shapes with yellow paper,i will observe the man in the kitchen,vis,lan,targ,lan,vis,2
1154,am unwinding in the evening,,join a potluck food club at work.,attempt to fix the stove,choose from food and vegetables on the table.,i will learn to cook some day.,watch a dining programme on the television,lan,vis,lan,vis,targ,4
1155,am hungry,,supervise my friend at the kitchen,eat the pasta from the plate,use the proper equipment to move the appliance,eat some food on the table,open the oven to see what's cooking.,vis,lan,vis,lan,targ,4
1156,want to check on my dinner,,open the pizza box and take a piece,would watch the men teach the little girl how to cook.,open the oven and take a look,hire the best group of men to help me in my kitchen.,open the door of the refrigerator and find a drink,lan,vis,targ,vis,lan,2
1157,why is he not talking tome?,,get my phone out and watch some clips on youtube,start a conversation with the girl,hang out with a group of guys and play on our cellphones,reply to the message on my phone,i will show my friend stuff on my tablet,vis,lan,vis,targ,lan,3
1158,like making friends,,wait for the man to move away from the glass with his phone,get my phone out and watch some clips on youtube,exchange phone numbers,send her text message and ask her out,call on the phone to come and get my hair cut,vis,vis,targ,lan,lan,2
1159,want to get to my destination,,follow the directions on my smartphone,i'm going to wait for him to stop talking on his phone,send them a text while waiting,use the computer,get on my laptop computer,targ,vis,vis,lan,lan,0
1160,want to save some information of the notes,,show an elderly woman how to operate her cellphone,play on my phone until the train comes.,sit down and check if anyone has sent me a text,take a picture of the girl feeding the boy with a spoon,take a picture of the notebook with my phone,vis,lan,vis,lan,targ,4
1161,need to talk to someone,,take a picture of the cow with my phone.,call someone from a restaurant,talk to the woman on her phone,grab my wallet and phone,use the phone to make a call,vis,lan,lan,vis,targ,4
1162,am feeling lonely,,allow the man to take a picture of me with his cell phone,will call my mom on the phone to chat,let my mum feed me some fruit,smile at the woman on her cell phone,take a picture of the cow with my phone.,vis,targ,lan,lan,vis,1
1163,if i love all of my gadgets,,to go to the bathroom to get a selfie,i will use an umbrella,purchase a cell phone and call them up,i will gaze at my cellphone adoringly,will show the child how to use the phone,lan,lan,vis,targ,vis,3
1164,want to keep in touch with different friends,,disable the wifi access to the ladies laptops,take a picture of the toddler putting a phone in his mouth,buy different cellphones for each one,i'm going to wait for him to stop talking on his phone,i will listen to the man talk on his phone,lan,lan,targ,vis,vis,2
1165,if i need to talk to someone,,i write a text message,have a meeting with my colleagues.,wait for the man to move away from the glass with his phone,get my phone out and watch some clips on youtube,put my arm around the couple,targ,lan,vis,vis,lan,0
1166,need to call someone,,take one of their laptops,will get my tablet and write to someone.,use the phone,take a picture of the toddler putting a phone in his mouth,hang out with a group of guys and play on our cellphones,lan,vis,targ,lan,vis,2
1167,want to know the weather,,search on my cellphone,i will show my friend stuff on my tablet,pretend to talk on my phone when i walk across the street.,take a picture on my phone of my children,use my friend's cellphone to book a reservation at a restaurant,targ,lan,vis,lan,vis,0
1168,want to take a selfie,,play on my phone until the train comes.,will get my tablet and write to someone.,take a picture of the toddler putting a phone in his mouth,use the cellphone,offer to make the fonts bigger on the phone,lan,vis,lan,targ,vis,3
1169,want to take a selfie,,play on my phone until the train comes.,use a cellphone,disable the wifi access to the ladies laptops,sit down and check if anyone has sent me a text,will get my tablet and write to someone.,lan,targ,lan,vis,vis,1
1170,if i am stopped,,phone up and order room service,send her text message and ask her out,i will get on the bus and take a trip,i will be texting,get my phone out and watch some clips on youtube,vis,lan,lan,targ,vis,3
1171,feel knowledgeable,,use my cell phone to look for information,answering a text from my boyfriend,use my phone to order from a take out menu,use the computer to look up information,wait for the train talking on the phone,targ,vis,lan,lan,vis,0
1172,need to talk,,offer to make the fonts bigger on the phone,give them a call,i will listen to the man talk on his phone,call someone on my phone,talk to the woman on her phone,vis,lan,vis,targ,lan,3
1173,need to communicate,,use my phone to do so.,i will use my computer,get my laptop out like the other people,hack into my boyfriend's skype conversation,call you from outside,targ,lan,lan,vis,vis,0
1174,feel bored,,tell the boy to stop using his phone in school,look at my phone while waiting in the line,use the cell,get on the bus,take my camera with me on the train,vis,targ,vis,lan,lan,1
1175,need to relax now,,play on my phone until the train comes.,will get my tablet and write to someone.,talk on my cell phone like the man,say hi to the man talking to the motorcyclist,offer to make the fonts bigger on the phone,lan,vis,targ,lan,vis,2
1176,am feeling bored,,wait seating down for the boat while texting on my phone,make a call on my cell phone.,offer to make the fonts bigger on the phone,take a picture of the toddler putting a phone in his mouth,set my alarm clock,vis,targ,vis,lan,lan,1
1177,feel isolated,,try texting on my cell on the subway,try to get past the people at the station,will get my tablet and write to someone.,read a book while taking a train home,get my phone out and watch some clips on youtube,targ,lan,vis,lan,vis,0
1178,am babysitting,,phone up and order room service,use the phone to order it,entertain the boy with my cell phone,play baseball with my friends.,play video games with my friends,vis,vis,targ,lan,lan,2
1179,am feeling lonely,,sit on the sofa and chat with a friend,go to this bar and talk to people,wait in a traffic jam while talking on my phone,call someone for a chat,i will walk around the man using his cellphone,lan,lan,vis,targ,vis,3
1180,make a connection here,,tell her to hurry up on the phone the train is arriving.,wait for the woman to get off the phone,wait for the man to move away from the glass with his phone,be able to make my appointment over the phone,hang out with a group of guys and play on our cellphones,lan,lan,vis,targ,vis,3
1181,am relaxed,,purchase a cell phone and call them up,watch a man through my computers and tablet,go out to lunch with friends,show an elderly woman how to operate her cellphone,chat on my phone,vis,lan,lan,vis,targ,4
1182,want to get in touch with you,,take a selfie with friends,watch a video on a portable device,wait for the woman to get off the phone,will show the child how to use the phone,text you from my phone while sitting outside,lan,vis,lan,vis,targ,4
1183,hear it ringing,,hit the keys on my computer like the men,take a selfie at work,answer my phone,offer to make the fonts bigger on the phone,send them a text while waiting,lan,lan,targ,vis,vis,2
1184,want to reach you,,tell the woman hello,wait in a traffic jam while talking on my phone,call someone from a restaurant,offer to make the fonts bigger on the phone,call you from outside,lan,vis,lan,vis,targ,4
1185,if i am feeling funny,,i would pull funny faces at my colleague.,use my cell phone and look it up on the internet,wait seating down for the boat while texting on my phone,i will laugh on the phone,i will use this tv to talk with them.,lan,vis,vis,targ,lan,3
1186,want to connect with someone,,buy a kite from the store,sit down and check if anyone has sent me a text,buy a new cell phone soon,call on the phone to come and get my hair cut,i will listen to the man talk on his phone,lan,vis,targ,lan,vis,2
1187,want to make a call,,hang out with a group of guys and play on our cellphones,pretend to talk on my phone when i walk across the street.,take the man's camera away from him,take a picture on my phone of my children,use the phone,vis,vis,lan,lan,targ,4
1188,have spare time,,use my friend's cellphone to book a reservation at a restaurant,i will sit here and eat pizza with the bearded guy,have my photo taken with my friends,send them a text while waiting,look at my phone too,vis,lan,lan,vis,targ,4
1189,the more i have to wait,,i'll call a friend with my phone,play games against my friends.,get my phone out and watch some clips on youtube,smile and take a selfie with a cell phone,offer to make the fonts bigger on the phone,targ,lan,vis,lan,vis,0
1190,wanted to communicate with someone,,i will listen to the man talk on his phone,make a home-run while in the baseball game,use my computer to get to the internet,wait for the man to move away from the glass with his phone,send a text using my cell phone,vis,lan,lan,vis,targ,4
